Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
72153908-34c4-1a02-5574-fed8db60b424,1991-08-11,,999-95-4667,S99991809,X76691999X,Ms.,Marcell728,,Daniel959,,,S,black,hispanic,F,Groveland  Massachusetts  US,800 O'Kon Estate Apt 52,Boston,Massachusetts,Suffolk County,25025,02132,42.34247320381793,-71.04448589919079,109481.56,215041.42,37871
31d60e11-3114-1e03-76b0-ec3adc0f4fec,2002-01-01,,999-78-2380,S99953445,X46689821X,Mr.,Donnie175,Darron84,Kautzer186,,,,white,nonhispanic,M,Boston  Massachusetts  US,152 Murazik Row,North Andover,Massachusetts,Essex County,,00000,42.68082919134609,-71.11982743771486,56503.01,0.00,113001
ce445f4c-e129-b046-9352-7b3ebecf478a,1984-08-24,,999-23-9724,S99949013,X63751328X,Mr.,Jimmie93,Armando772,Rowe323,,,S,black,nonhispanic,M,Westfield  Massachusetts  US,1016 Halvorson Terrace,Hingham,Massachusetts,Plymouth County,25023,02043,42.239905652561475,-70.85370256333684,106249.61,7638.05,39323
00342d02-69f0-9e60-dc7a-2576c9594ac5,1985-02-22,,999-25-9936,S99972800,X50157247X,Mrs.,Jeni110,Genevieve884,Purdy2,,Wolf938,M,white,nonhispanic,F,Beverly  Massachusetts  US,302 Kulas Rue Suite 0,Mansfield,Massachusetts,Bristol County,,00000,41.99265541384292,-71.25734166319282,9147.87,966316.97,16696
14cb39c8-8100-4735-ce1e-f2a2507cbbbb,1992-06-17,,999-90-4689,S99926055,X54898596X,Mrs.,Lucila204,Karan473,Torphy630,,Keebler762,M,white,nonhispanic,F,Boston  Massachusetts  US,440 Collier Vista Apt 40,Palmer,Massachusetts,Hampden County,25013,01069,42.07993183448052,-72.30216119236339,132518.26,399679.86,102947
22f41ab8-51e1-5d6d-dd50-dbfdc1cfd335,1985-07-26,2011-10-29,999-53-7121,S99991508,X63970374X,Mr.,Clint766,,Fisher429,,,,white,hispanic,M,Hudson  Massachusetts  US,464 Becker Burg,New Bedford,Massachusetts,Bristol County,25005,02747,41.70584242467211,-70.9489386536763,140994.68,23715.89,82052
af6cb034-bf86-5633-b0b1-6171b4c17750,1950-12-29,,999-55-6377,S99962393,X37741292X,Mrs.,Lilliana632,Lita714,Bernhard322,,Daugherty69,M,white,nonhispanic,F,Boston  Massachusetts  US,771 Pouros Byway,Boston,Massachusetts,Suffolk County,25025,02116,42.30799162423202,-71.08205005883242,393914.56,223681.31,39872
a11f9941-3e72-a88c-29b3-9f4e21a5eeff,1966-01-28,2007-09-30,999-54-3238,S99975312,X63248647X,Mrs.,Carlota980,Florencia449,Verdugo724,,Villaseñor332,D,white,hispanic,F,Salisbury  Saint Joseph Parish  DM,724 McLaughlin Union Suite 77,Worcester,Massachusetts,Worcester County,25027,01609,42.24059639913582,-71.81194259290069,119219.79,325477.72,33074
2e2b530d-dad6-90cb-efa0-6eb1cc98cc7b,1952-07-31,,999-29-3026,S99946449,X49905401X,Mr.,Frank378,Demetrius568,Kohler843,JD,,S,black,nonhispanic,M,Quincy  Massachusetts  US,498 Heaney Lodge Apt 92,Boston,Massachusetts,Suffolk County,25025,02108,42.382231917233476,-71.07255467627101,20647.61,611285.53,4177
dc80913c-4660-4704-acdc-6348957b9fc6,1985-07-26,,999-67-5742,S99973853,X2122525X,Mr.,Rudolph554,Tommie457,Simonis280,,,D,white,hispanic,M,Cambridge  Massachusetts  US,591 Bernier Route,New Bedford,Massachusetts,Bristol County,25005,02744,41.57426462075325,-70.95430283371033,117334.63,17405.82,82052
d11b3282-7dec-441a-4c2a-8415636254bb,1974-08-16,,999-52-1721,S99999019,X52441707X,Mrs.,Erlinda993,Jinny850,Sauer652,,Gerhold939,M,black,nonhispanic,F,Plainville  Massachusetts  US,545 Wisozk Trail,Springfield,Massachusetts,Hampden County,25013,01199,42.148243665589824,-72.6496701336866,622895.37,280092.82,79385
ae940d17-6d09-c6a3-2a3b-0b26190464f1,1954-01-13,2016-12-16,999-67-8002,S99960493,X13094697X,Mrs.,Willena258,Melisa53,Lakin515,,Okuneva707,D,white,nonhispanic,F,Brookline  Massachusetts  US,361 VonRueden Extension,Newbury,Massachusetts,Essex County,,00000,42.721659180466276,-70.9162827100068,914218.55,490086.56,112791
ff8acf02-1c1e-d1d8-6c9d-253027b0dea3,2013-09-28,,999-88-9039,,,,Inell560,Kiara978,Kautzer186,,,,white,nonhispanic,F,Boston  Massachusetts  US,614 Cartwright Skyway,West Springfield,Massachusetts,Hampden County,25013,01089,42.11435193990373,-72.65359201291719,25513.35,0.00,63851
4aa97a71-60a0-5378-513f-e871ea55694f,2010-02-07,,999-65-9818,,,,Mel236,Royce974,Huel628,,,,white,nonhispanic,M,Holyoke  Massachusetts  US,579 Cremin Brook,Attleboro,Massachusetts,Bristol County,44007,02861,41.84425238131568,-71.3662126605116,21445.50,17801.56,107810
f1b32cee-8012-d397-51be-6ecc3c086dad,1966-01-28,,999-74-4581,S99955558,X78294456X,Mrs.,Marilu588,,Murillo232,,Fierro365,D,white,hispanic,F,Lima  Lima Province  PE,727 Hodkiewicz Arcade Unit 0,Worcester,Massachusetts,Worcester County,25027,01602,42.251554750872785,-71.89682662572876,199550.79,727537.62,33074
a326a8a5-287d-071f-34cd-e13dac3e14c1,1965-10-19,,999-36-2375,S99915994,X67862560X,Mr.,Lucas404,Orlando897,Mertz280,,,M,asian,nonhispanic,M,Shanghai  Shanghai Municipality  CN,861 Denesik Neck Unit 75,Everett,Massachusetts,Middlesex County,25017,02149,42.357399092340074,-71.0641592305995,10399.19,138200.73,21789
785daa57-5af6-1858-ad31-0c91d4c6131b,1971-04-13,,999-17-3748,S99931087,X72879754X,Mr.,Emilio417,Emilio417,Rendón540,,,W,white,hispanic,M,Bogota  Bogota  CO,786 Mills Arcade,Fairhaven,Massachusetts,Bristol County,,00000,41.62834412276719,-70.84458241964985,75723.72,72494.91,52579
6d53e940-9e15-1b45-86d4-014875a81ac5,2005-09-09,,999-98-3641,S99957835,,Ms.,Bridgette172,,Hudson301,,,,white,nonhispanic,F,Somerset  Massachusetts  US,541 Frami Harbor Suite 55,Foxborough,Massachusetts,Norfolk County,25021,02035,42.033876916559926,-71.22404237784141,4307.57,71037.37,13977
15734c47-c0da-6589-dac1-34568ff8f5e6,1999-04-10,,999-68-7396,S99921920,X9689503X,Mr.,Lon587,,Bruen238,,,,white,nonhispanic,M,Brockton  Massachusetts  US,599 Boyer Fork Suite 11,Acton,Massachusetts,Middlesex County,,00000,42.49350818988586,-71.47647951968179,67695.26,41849.95,59140
72e7934b-3a5c-1730-f2c1-5f079f52e733,2004-09-23,,999-41-3541,S99950072,X53297357X,Ms.,Shemika942,Tarah156,Russel238,,,,white,nonhispanic,F,Taunton  Massachusetts  US,178 Green View Unit 31,Auburn,Massachusetts,Worcester County,,00000,42.18924320183283,-71.83733358334344,61994.58,116436.83,30683
85698890-52b9-d9c2-3552-5eaba7c28eb3,2000-02-06,,999-72-8552,S99951994,X75945213X,Mr.,Robbie31,Frederic454,Kreiger457,,,,white,nonhispanic,M,Dennis  Massachusetts  US,974 Kerluke Highlands,Fairhaven,Massachusetts,Bristol County,,00000,41.68223461831624,-70.82937399226958,5903.01,72970.08,9352
cf3ec195-2450-0372-7702-7f4b94c4c940,1954-01-13,,999-10-8992,S99929186,X15660872X,Ms.,Lissette621,Alexia646,Wisoky380,,,S,white,nonhispanic,F,Swampscott  Massachusetts  US,432 Robel Crossroad,Newbury,Massachusetts,Essex County,,00000,42.81826079540237,-70.85290308197078,645648.11,84745.23,112791
5e33ea90-6639-517d-f35a-13ec9a7b6b89,2009-05-14,,999-54-7462,S99956943,,,Tereasa291,Malka46,Orn563,,,,white,nonhispanic,F,Stoneham  Massachusetts  US,712 Stroman Route Unit 74,Billerica,Massachusetts,Middlesex County,,00000,42.6095859494198,-71.29776593114929,78826.62,653726.42,168814
eadcde80-9e25-d24a-eaf1-c2caa889abb6,1996-08-08,,999-60-8563,S99956937,X12471582X,Mrs.,Demetrice140,Shelby741,Mills423,,Leannon79,M,white,nonhispanic,F,Brookline  Massachusetts  US,595 Pollich Boulevard Apt 12,Medford,Massachusetts,Middlesex County,25017,02155,42.404001023978694,-71.14272300660787,96526.17,136138.78,66720
376c727f-18e1-2593-7dd5-8b2a3a5594a8,1930-08-20,,999-63-1887,S99957664,X45178613X,Mr.,Normand813,Mikel238,Metz686,,,M,black,nonhispanic,M,East Harwich  Massachusetts  US,967 Keeling Divide,Hanover,Massachusetts,Plymouth County,,00000,42.16303990981624,-70.88887227553899,523998.04,1036880.67,73332
2c8e4488-86f7-a6fd-5623-13d3f6d0ed4b,1978-07-07,,999-14-3313,S99957469,X47499577X,Mr.,Stanton715,Mike230,Muller251,,,S,black,nonhispanic,M,Wellesley  Massachusetts  US,1053 White Center,Randolph,Massachusetts,Norfolk County,25021,02368,42.141489825277226,-71.04518152816132,85328.98,0.00,54697
6f31615e-75d7-2749-7383-163970c39984,1948-06-10,,999-26-9805,S99975032,X80486678X,Mrs.,Angelika194,Angelic427,Jast432,,Gulgowski816,M,white,nonhispanic,F,Melrose  Massachusetts  US,108 Nienow Junction Suite 70,Brockton,Massachusetts,Plymouth County,25023,02351,42.10455292320314,-70.99137084277334,446529.75,1119713.17,142371
2cbcacc7-2f73-b48f-e0c0-11bdda7c6baa,1966-09-05,,999-33-5427,S99923781,X74031581X,Mr.,Kendall673,Kory651,Conn188,,,M,white,nonhispanic,M,Dartmouth  Massachusetts  US,642 Gleason Neck Apt 29,Tewksbury,Massachusetts,Middlesex County,,00000,42.658852303188844,-71.20715386855088,10415.93,242553.67,17971
48426ec0-10d2-aec2-3568-dad99b28de05,1961-12-29,,999-12-8859,S99931610,X29814568X,Mrs.,Ehtel928,,O'Keefe54,,Haag279,M,white,nonhispanic,F,North Adams  Massachusetts  US,740 Emmerich Estate Unit 85,Milton,Massachusetts,Norfolk County,25021,02186,42.19729523564254,-71.08839070125265,177459.84,155970.79,67453
558892f1-ab5e-0d67-94f6-137ab20780b5,1978-11-10,,999-56-7228,S99998956,X42965690X,Mrs.,Diann220,Hortencia577,Bosco882,,Murphy561,D,white,nonhispanic,F,Boston  Massachusetts  US,1027 Murphy Dale Apt 39,Weymouth,Massachusetts,Norfolk County,25021,02190,42.16827015969929,-70.9551247556697,272656.88,305412.09,171549
08db43c6-4675-22c1-19be-e0d53795c497,1976-05-11,,999-30-7664,S99983174,X19003089X,Mrs.,Kaitlin600,Angelita915,Stanton715,,Deckow585,M,white,nonhispanic,F,Worcester  Massachusetts  US,577 Daugherty Plaza,Beverly,Massachusetts,Essex County,25009,01915,42.56750009385388,-70.88423836995449,142784.83,980157.69,33871
191369a7-664e-3ced-cc54-33daa71e4bb7,1968-08-02,,999-69-5563,S99955686,X40283381X,Mr.,Gale827,Preston275,Fritsch593,,,M,white,nonhispanic,M,Brockton  Massachusetts  US,614 Boyer Spur Unit 34,Pembroke,Massachusetts,Plymouth County,,00000,42.07925737357056,-70.80085955651491,174315.36,16658.66,112536
94983381-8f16-56ad-0f63-f93ac4a9a427,1968-04-22,,999-87-5953,S99937076,X10215626X,Mrs.,Tobie99,Krysta658,Reinger292,,Welch179,M,white,nonhispanic,F,Ocean Bluff-Brant Rock  Massachusetts  US,436 Ledner Vale,Fall River,Massachusetts,Bristol County,25005,02747,41.62746960575396,-71.05383810691343,31593.04,490170.49,72449
f03c7c8c-cfa7-ae69-7971-9429680f4060,2010-10-30,,999-18-5194,,,,Elinore878,,Hessel84,,,,white,nonhispanic,F,Lexington  Massachusetts  US,962 Windler Pathway,Southampton,Massachusetts,Hampshire County,,00000,42.17957637736195,-72.75934393706753,42542.42,6198.10,94588
4556f391-75d2-790d-6ea8-86ba2454a0a9,1975-06-16,,999-85-8221,S99934685,X35595234X,Mr.,Garry927,Theo630,Jast432,,,D,white,nonhispanic,M,Cambridge  Massachusetts  US,1046 Bayer Port,Salem,Massachusetts,Essex County,25009,01907,42.49171791868112,-70.91353538311117,118220.20,0.00,70298
361a8dcd-58b3-8195-95c2-9f273a24e557,1967-06-19,,999-81-5815,S99964498,X70925734X,Mrs.,Elva122,Leigha840,Heathcote539,,Jerde200,M,white,nonhispanic,F,Chelsea  Massachusetts  US,331 Conn Rapid,Tewksbury,Massachusetts,Middlesex County,,00000,42.648742450337004,-71.2346024273567,728144.69,1253945.94,83644
6befab6f-fd1c-c958-dcc9-de6dc8d37535,2008-06-09,,999-47-6491,S99948882,,,Lillian593,,Grady603,,,,white,hispanic,F,Monson Center  Massachusetts  US,614 Little Spur,Wayland,Massachusetts,Middlesex County,,00000,42.33152984962522,-71.37666872572592,37306.54,32230.26,56507
7727f945-d903-a677-5d5b-1dd1b46707e7,2010-08-26,,999-20-3637,,,,Mitchell808,Darnell564,Walsh511,,,,white,nonhispanic,M,West Springfield  Massachusetts  US,286 O'Kon Camp Apt 11,Ayer,Massachusetts,Middlesex County,25027,01434,42.53670479028632,-71.62607843895373,2384.36,30971.38,22864
288a5b37-2cf4-9b17-5a1b-15a511efb99e,1948-03-07,2013-08-18,999-31-3067,S99941430,X7016121X,Mr.,Marcelo725,Tuan998,Kreiger457,,,S,white,nonhispanic,M,Berlin  Berlin  DE,587 Cassin Wynd Unit 38,Fall River,Massachusetts,Bristol County,25005,02720,41.67056399729034,-71.19686098973952,198807.41,97195.38,63237
2e3a99a6-4252-761d-97a6-dfd6c898ec1a,1945-06-25,,999-17-2708,S99990545,X35000882X,Mr.,Santiago500,,Archuleta517,,,M,white,hispanic,M,Havana  Havana  CU,170 Oberbrunner Estate Unit 21,Lynn,Massachusetts,Essex County,25009,01901,42.42799544354225,-70.9388066925426,14269.24,349514.02,19709
edfac99d-c24a-e645-221a-e2b1179b4bac,1987-07-27,,999-47-4847,S99966213,X40704292X,Mr.,Rodrick370,,Wolf938,,,S,white,nonhispanic,M,Fall River  Massachusetts  US,701 Bartell Gardens,Great Barrington,Massachusetts,Berkshire County,25003,01230,42.20134532376213,-73.3015747035401,128749.43,604647.33,288455
e3a02016-7b44-5f54-381e-d064bd3de9cf,1982-09-30,2021-03-21,999-37-1824,S99912035,X72125552X,Ms.,Lyndsey828,Charis952,Jacobs452,,,S,white,nonhispanic,F,Mansfield  Massachusetts  US,551 Klocko Harbor Unit 43,Revere,Massachusetts,Suffolk County,25025,02151,42.4091104995097,-71.02047733563568,18445.86,517762.31,16039
abe479a0-55f2-077e-a1e4-e13a844c2831,1979-02-18,,999-65-3661,S99912278,X64305539X,Mr.,Derrick232,,Upton904,,,S,white,nonhispanic,M,Stoughton  Massachusetts  US,295 Nolan Route Unit 0,Springfield,Massachusetts,Hampden County,25013,01199,42.22106818250934,-72.59275799878375,103231.32,32682.69,59395
a6607502-e475-5165-e498-d0b602dcfd80,1944-11-21,,999-73-3517,S99956595,X88896396X,Mrs.,Floria545,Aleida76,Kulas532,,Wilderman619,M,white,nonhispanic,F,New Bedford  Massachusetts  US,890 Harvey Promenade,Brookline,Massachusetts,Norfolk County,25021,02445,42.36824437194492,-71.11510463905876,303261.64,1996412.96,195577
7e447a86-997d-7787-61f4-d2b4fb5be7ad,1974-06-01,,999-73-9269,S99940092,X10291090X,Mrs.,Luann880,,Kassulke119,,Carter549,M,white,nonhispanic,F,Templeton  Massachusetts  US,828 Jakubowski Branch Apt 98,Pocasset,Massachusetts,Barnstable County,25001,02559,41.67378062616654,-70.6025241702358,351188.85,141784.93,57916
8b719fac-e2cf-8394-4de3-5a5d60db51b5,1950-02-13,2020-06-03,999-34-8809,S99986611,X72494235X,Mr.,Cliff504,Bert917,Stiedemann542,,,M,white,nonhispanic,M,Chicopee  Massachusetts  US,904 Wiegand Wall Apt 22,Orange,Massachusetts,Franklin County,25011,01364,42.58870810007056,-72.28982787986587,36333.23,1466263.84,19129
3e4743af-cc3f-b8e9-813c-39b84b66975c,1982-09-30,2014-05-18,999-74-8965,S99964836,X3150232X,Mrs.,Celina578,Venetta859,Robel940,,Spinka232,M,white,nonhispanic,F,Taunton  Massachusetts  US,786 Ortiz Flat Suite 61,Revere,Massachusetts,Suffolk County,25025,02151,42.46248531696229,-70.98496576934683,10618.36,262451.92,16039
ee5f5677-f7fa-c256-f0a2-bc6567978b96,1991-08-27,,999-87-3562,S99935476,X66653761X,Mrs.,Marybelle759,Kiersten731,Donnelly343,,Dach178,M,white,nonhispanic,F,Marshfield  Massachusetts  US,145 Bartell Lock Unit 87,Boston,Massachusetts,Suffolk County,25025,02119,42.333903193690716,-71.07268476774954,111526.64,1128820.09,150636
ba648a08-9999-4a73-c7a6-35b3b79bca18,1971-06-14,,999-12-7212,S99960276,X9740225X,Mr.,Walton167,Cristopher265,Cassin499,,,M,white,nonhispanic,M,Leominster  Massachusetts  US,691 Franecki Mall,South Hadley,Massachusetts,Hampshire County,,00000,42.30088791096729,-72.62843591077221,119803.55,713332.42,166996
d11974be-73a3-7074-9a6f-f8f6979fd9ec,1994-10-20,,999-71-9380,S99979314,X81530827X,Ms.,Eladia866,Keitha498,Strosin214,,,S,white,nonhispanic,F,Marblehead  Massachusetts  US,560 Lockman Alley,Boston,Massachusetts,Suffolk County,25025,02108,42.30441223817026,-71.03202901310127,276827.50,9343.14,57580
8bce32e1-9757-6e7d-52ee-0ec5620d35c2,1991-02-08,,999-87-5348,S99963998,X61229766X,Mr.,Ronnie7,Lowell343,Gerlach374,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,828 Windler Camp,Boston,Massachusetts,Suffolk County,25025,02134,42.32966873212738,-71.01865663029501,7990.04,86373.82,2045
ab1c711d-60e0-5b14-3e03-ff74b7e80da3,1982-03-06,,999-78-4384,S99949561,X44378694X,Mrs.,Michaela318,,Kerluke267,,Crooks415,M,hawaiian,nonhispanic,F,Randolph  Massachusetts  US,582 Zboncak Dale,Springfield,Massachusetts,Hampden County,25013,01108,42.1414529365751,-72.63428922181002,13946.26,946421.85,4543
204543a2-d1b2-1ce1-31cf-dbdc2a9ec56b,1950-12-03,,999-47-8163,S99986109,X50023180X,Mr.,Bret7,Loren192,Price929,,,M,white,nonhispanic,M,Newton  Massachusetts  US,902 Weimann Dam,Erving,Massachusetts,Franklin County,,00000,42.634438129082184,-72.4035790847839,20860.66,436785.41,3706
af524abb-0361-922f-33ff-001660901962,2008-09-16,2010-03-20,999-62-8282,,,,Ninfa662,Thomasine260,Rath779,,,,black,nonhispanic,F,Lowell  Massachusetts  US,322 Adams Byway Unit 74,Holliston,Massachusetts,Middlesex County,,00000,42.19803355833408,-71.46759015956177,7026.57,10615.58,154824
b4b4656a-57e5-f56c-f13d-bc995f4e369d,2015-04-02,,999-34-3661,,,,Janeth814,Kimberely738,Funk324,,,,asian,nonhispanic,F,Winchester  Massachusetts  US,943 Lemke Path,Boston,Massachusetts,Suffolk County,25025,02203,42.389912749627655,-71.17627100201676,26487.07,6067.03,998784
a85f4f2b-2b89-ff77-ce4b-7ae30d4098a5,2013-11-29,,999-18-1264,,,,Jimmy858,Elba502,Baumbach677,,,,white,nonhispanic,F,Pittsfield  Massachusetts  US,484 Bartell Station Apt 16,Springfield,Massachusetts,Hampden County,25013,01103,42.10075252744675,-72.53956323441352,48920.66,0.00,86056
33107be4-4cee-9772-867b-562188b24f70,2023-01-02,,999-37-2268,,,,Ellamae709,Kiersten731,Kulas532,,,,white,nonhispanic,F,Orleans  Massachusetts  US,229 O'Conner Terrace,Chicopee,Massachusetts,Hampden County,25013,01022,42.205223705988146,-72.56745152746424,11475.15,0.00,61668
59f56adf-dd12-6c75-1b6a-f9bdecffdc7a,2003-07-03,,999-44-5470,S99936913,X87612285X,Mr.,Duane703,Dong972,Rosenbaum794,,,,black,nonhispanic,M,Boston  Massachusetts  US,432 Dibbert Hollow Suite 43,Lawrence,Massachusetts,Essex County,25009,01841,42.68317930720187,-71.12178851178754,60445.07,25772.87,30312
9f9e59cf-56e7-4559-09b1-cd7ad503da88,2008-09-16,,999-77-1634,S99930372,,,Bonny428,Zenia843,Batz141,,,,black,nonhispanic,F,New Bedford  Massachusetts  US,1060 Yundt Walk,Holliston,Massachusetts,Middlesex County,,00000,42.182118844404236,-71.44079548468633,34061.59,50725.83,154824
223d0c3e-8db9-f1a9-69d0-254814c2f5fd,2004-08-19,,999-36-5666,S99949607,X55481468X,Mr.,Ezequiel972,Alden634,Kozey370,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,470 Champlin Mews,Sudbury,Massachusetts,Middlesex County,,00000,42.343043908834844,-71.42192097360387,125325.78,683334.64,586727
05ba6eca-465e-4639-a0a8-dbb66c606b3a,1999-06-29,,999-67-3594,S99999293,X41415410X,Ms.,Daryl568,Denice974,Schmidt332,,,,white,nonhispanic,F,Manchester-by-the-Sea  Massachusetts  US,114 Zulauf Glen,Needham,Massachusetts,Norfolk County,25021,02492,42.31170198580712,-71.2208228580344,54787.72,118589.22,101936
0be1b635-2bdb-43e1-782b-6cc782f989ad,2012-04-04,,999-51-2602,,,,Jeremy766,Glennie916,Wunsch504,,,,white,nonhispanic,F,Malden  Massachusetts  US,982 Stoltenberg Hollow,Boxford,Massachusetts,Essex County,25009,01921,42.68476018063485,-71.06502318902167,2293.00,41693.16,21669
78362b02-edde-1088-b8e5-409e8ac8072c,2018-10-27,,999-52-8211,,,,Deb577,Tran115,Franecki195,,,,asian,nonhispanic,F,Salem  Massachusetts  US,685 Moore Well,Monson Center,Massachusetts,Hampden County,,00000,42.14176286930344,-72.31989448234265,1197.42,14366.98,25329
550f60e9-91a8-c3ca-0bc9-29bfd8a7aab6,1982-09-30,,999-57-3379,S99930564,X72742186X,Mrs.,Kanesha23,Carolann504,Block661,,Doyle959,M,white,nonhispanic,F,Oxford  Massachusetts  US,1010 Beier Arcade Unit 20,Revere,Massachusetts,Suffolk County,25025,02151,42.39938548917396,-70.99100577503613,19218.44,523801.76,16039
6c272ed5-b156-af5d-9d56-6941d62e0963,2020-11-07,,999-49-3628,,,,George991,Shela13,Wiegand701,,,,white,nonhispanic,F,Northampton  Massachusetts  US,464 Powlowski Rapid Unit 97,Holbrook,Massachusetts,Norfolk County,25021,02368,42.11092745516803,-70.95492637977664,11156.16,2715.43,63042
7b485822-ae72-00b4-4a42-2d71f36c5a2e,2005-03-09,,999-63-3646,S99993817,X39314358X,Mr.,Vaughn909,Chung121,Ebert178,,,,black,nonhispanic,M,Raynham  Massachusetts  US,436 Roberts Dam,Quincy,Massachusetts,Norfolk County,25021,02169,42.318513483215945,-71.00795549943659,8661.53,42459.38,190980
d5768aed-66ac-faa5-1e55-4da9ebd0af3e,1995-06-21,,999-12-3431,S99913274,X18319485X,Mrs.,Laverna97,Altagracia629,Walter473,,Herman763,M,white,nonhispanic,F,Quincy  Massachusetts  US,154 Gerlach Key,Boston,Massachusetts,Suffolk County,25025,02121,42.31923305113902,-71.16415542432482,117125.73,279110.00,38470
b6ba68a1-3945-b2c4-8950-b3ef7284422c,1985-07-06,,999-12-9111,S99919191,X35605217X,Mrs.,Emerald468,Beula159,Heathcote539,,Herman763,D,other,nonhispanic,F,Chicopee  Massachusetts  US,703 Raynor Viaduct Unit 4,Concord,Massachusetts,Middlesex County,,00000,42.45734119538965,-71.31590452177082,205172.91,580023.04,30123
ec60f59c-4722-ec61-0f97-aa429adab235,1964-08-05,,999-51-7979,S99997626,X86298706X,Mr.,Kraig824,Charlie254,Schaden604,,,M,white,nonhispanic,M,Worcester  Massachusetts  US,156 Casper Ranch,Needham,Massachusetts,Norfolk County,25021,02492,42.30761268215161,-71.26025476391818,19849.19,339430.94,3508
